Title,Author,ISBN,Circulation,Library,Branch,Code,Variable,Total_2010,Total_2011,Total_2013,Total_2012,Total_2015,Total_2014,Total_2017,Total_2016,year,value
Red sparrow,NA,024543418009,54,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,54,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American assassin,NA,031398274827,51,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,51,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall,NA,191329035979,50,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,50,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,50,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The commuter,NA,031398285373,50,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den of thieves / STX Films and Diamond Film Productions present a Diamond Film Productions/Tucker Tooley Entertainment/a Mark Canton production,NA,191329021019,49,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,49,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Perry's Acrimony,NA,031398288305,48,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,48,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boo 2! : a Madea Halloween / Lionsgate and Tyler Perry Studios present ; a Tyler Perry Studios,NA,031398277156,47,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kong : Skull Island / Warner Bros. Pictures,NA,883929568505,46,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jigsaw / a Lionsgate release ; Twisted Pictures presents ; directed by the Spierig Brothers ; written by Josh Stolberg & Peter Goldfinger ; produced by Oren Koules, Mark Burg, Gregg Hoffman ; a Burg/Koules",NA,031398276777,46,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,46,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maze runner. Death cure,NA,024543313915,46,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Incredibles 2 \ [videorecording].,NA,786936857078,46,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The mountain between us.,NA,024543417019,45,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molly's game,NA,191329010129,45,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyscraper,NA,191329041338,45,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
War for the planet of the apes,NA,024543322764,44,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blockers,NA,191329040881,44,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rampage / New Line Cinema presents in association with ASAP Entertainment ; a Wrigley Pictures/F.P.C.,NA,883929622771,44,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sicario : day of the soldado,NA,043396526785,44,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hostiles / producer, John Lesher, Ken Kao, Scott Cooper ; writer",NA,031398279402,42,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breaking in,NA,191329016015,42,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Great Wall / a Legendary Pictures and Universal Pictures presentation ; a Legendary Pictures,NA,025192302787,41,Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,131,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,131,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,98,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,93,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,89,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,89,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,87,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,86,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,83,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,81,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,78,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,78,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A quiet place,NA,032429308818,78,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The commuter,NA,031398285373,77,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,76,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It / New Line Cinema presents ; in association with RatPac-Dune Entertainment ; a Vertigo Entertainment,NA,883929571499,74,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,74,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,71,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,71,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurassic world. Fallen kingdom,NA,191329002469,71,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den of thieves / STX Films and Diamond Film Productions present a Diamond Film Productions/Tucker Tooley Entertainment/a Mark Canton production,NA,191329021019,70,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,69,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,68,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean's 8,NA,883929623099,68,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,66,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ant-man and The Wasp,NA,786936858969,66,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roman J. Israel, Esq. / Columbia Pictures presents ; in association with Marco Media [and others] ; a Jennifer Fox",NA,043396521278,64,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,64,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyscraper,NA,191329041338,62,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blockers,NA,191329040881,61,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American assassin,NA,031398274827,60,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A bad mom's Christmas,NA,191329021064,60,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geostorm,NA,883929530717,60,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific Rim. Uprising / directed by Steven S. DeKnight ; written by Steven S. DeKnight & Emily Carmichael & Kira Snyder and T.S. Nowlin ; produced by Mary Parent, Cale Boyter, Gullermo Del Toro, John Boyega, Femi Oguns, Thomas Tull, Jon Jashni ; Legendary Pictures and Universal Pictures present ; a Legendary Pictures",NA,191329028933,60,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hostiles / producer, John Lesher, Ken Kao, Scott Cooper ; writer",NA,031398279402,59,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,58,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molly's game,NA,191329010129,58,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit,NA,9786317026353,57,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,57,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackkklansman,NA,191329071663,56,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingsman: the golden circle,NA,024543328780,55,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daddy's home 2,NA,032429301482,55,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,55,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,55,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Game night / directed by John Francis Daley & Jonathan Goldstein ; written by Mark Perez ; produced by John Davis, John Fox, Jason Bateman, James Garavente ; a New Line Cinema presentation ; a Davis Entertainment",NA,883929620623,54,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,54,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,54,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atomic Blonde,NA,9786317017986,53,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rampage / New Line Cinema presents in association with ASAP Entertainment ; a Wrigley Pictures/F.P.C.,NA,883929622771,53,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proud Mary,NA,043396509320,52,Rice Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,198,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,197,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,189,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,185,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,172,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Us Weekly 2018,NA,NA,169,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,161,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,153,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,152,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,146,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,145,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The commuter,NA,031398285373,144,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,141,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,140,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A quiet place,NA,032429308818,133,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,131,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It / New Line Cinema presents ; in association with RatPac-Dune Entertainment ; a Vertigo Entertainment,NA,883929571499,130,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,128,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonder Woman / directed by Patty Jenkins ; screenplay by Allan Heinberg ; produced by Charles Roven ; produced by Deborah Snyder, Zack Snyder ; produced by Richard Suckle ; a Warner Bros. Pictures presentation ; in association with Rat-Pac Dune Entertainment, Tencent Pictures and Wanda Pictures ; an Atlas Entertainment",NA,883929552979,122,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The foreigner,NA,025192377488,122,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spider-Man: homecoming / Columbia Pictures presents ; a Marvel Studios,NA,043396488571,119,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proud Mary,NA,043396509320,118,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,116,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molly's game,NA,191329010129,115,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den of thieves / STX Films and Diamond Film Productions present a Diamond Film Productions/Tucker Tooley Entertainment/a Mark Canton production,NA,191329021019,112,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,112,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,111,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,111,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurassic world. Fallen kingdom,NA,191329002469,111,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daddy's home 2,NA,032429301482,109,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,109,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Game night / directed by John Francis Daley & Jonathan Goldstein ; written by Mark Perez ; produced by John Davis, John Fox, Jason Bateman, James Garavente ; a New Line Cinema presentation ; a Davis Entertainment",NA,883929620623,108,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,107,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,107,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maze runner. Death cure,NA,024543313915,106,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,104,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The hitman's bodyguard,NA,031398273769,104,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,104,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,102,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingsman: the golden circle,NA,024543328780,101,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roman J. Israel, Esq. / Columbia Pictures presents ; in association with Marco Media [and others] ; a Jennifer Fox",NA,043396521278,100,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferdinand,NA,024543277323,100,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American assassin,NA,031398274827,99,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,98,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time 2018.,NA,NA,97,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,97,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,97,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall,NA,191329035979,96,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitch perfect 3,NA,025192371752,96,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 strong,NA,883929601547,96,Sun Ray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,128,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twisted prey,"Sandford, John, 1944 February 23- author.",9780735217355,52,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,48,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,48,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A gentleman in Moscow,"Towles, Amor, author.",9780670026197,47,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Educated : a memoir,"Westover, Tara, author.",9780399590504,46,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little fires everywhere,"Ng, Celeste, author.",9780735224292,45,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The great alone,"Hannah, Kristin, author.",9780312577230,45,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,44,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,44,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,42,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An American marriage : a novel,"Jones, Tayari, author.",9781616201340,41,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,41,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternate side : a novel,"Quindlen, Anna, author.",9780812996067,40,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desolation mountain : a novel,"Krueger, William Kent, author.",9781501147463,40,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,39,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,39,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The wanted,"Crais, Robert, author.",9780399161506,38,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darkness, sing me a song","Housewright, David, 1955- author.",9781250094476,38,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The woman in the window,"Finn, A. J., author.",9780062678416,38,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Two kinds of truth,"Connelly, Michael, 1956-",9780316225908,37,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,37,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Call me by your name,NA,043396523821,37,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
There there : a novel,"Orange, Tommy, 1982- author.",9780525520375,37,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulfur Springs,"Krueger, William Kent.",9781501147340,36,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The rooster bar,"Grisham, John, author.",9780385541176,36,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,36,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sing, unburied, sing : a novel","Ward, Jesmyn, author.",9781501126062,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep freeze,"Sandford, John, 1944 February 23-",9780399176067,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prairie fires : the American dreams of Laura Ingalls Wilder,"Fraser, Caroline, author.",9781250182487,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Reports 2018.,NA,NA,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,35,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Future home of the living god : a novel,"Erdrich, Louise, author.",0062694057,34,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alter ego,"Freeman, Brian, 1963- author.",9781681441290,34,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,33,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oprah magazine 2018.,NA,NA,33,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,33,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The president is missing,"Clinton, Bill, 1946- author.",9780316412698,33,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Before we were yours : a novel,"Wingate, Lisa, author.",9780425284681,32,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonder Woman / directed by Patty Jenkins ; screenplay by Allan Heinberg ; produced by Charles Roven ; produced by Deborah Snyder, Zack Snyder ; produced by Richard Suckle ; a Warner Bros. Pictures presentation ; in association with Rat-Pac Dune Entertainment, Tencent Pictures and Wanda Pictures ; an Atlas Entertainment",NA,883929552979,32,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The midnight line : a Jack Reacher novel,"Child, Lee, author.",9780399593482,32,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Story of Arthur Truluv : a novel,"Berg, Elizabeth, author.",9781400069903,32,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phantom thread,NA,191329052952,32,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The immortalists : a novel,"Benjamin, Chloe, author.",9780735213180,31,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,31,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evicted : poverty and profit in the American city,"Desmond, Matthew, author.",9780553447439,30,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardcore twenty-four,"Evanovich, Janet, author.",9780399179198,30,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The handmaid's tale. Season 1,NA,883904360995,30,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,30,West 7th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Arlington Hills,C01M,Print Materials,NA,NA,NA,NA,NA,NA,NA,NA,2010,18927
NA,NA,NA,NA,NA,Arlington Hills,C02M,Audio Materials,NA,NA,NA,NA,NA,NA,NA,NA,2010,1967
NA,NA,NA,NA,NA,Arlington Hills,C03M,Video Materials,NA,NA,NA,NA,NA,NA,NA,NA,2010,3894
NA,NA,NA,NA,NA,Arlington Hills,C04M,Multi-format Materials,NA,NA,NA,NA,NA,NA,NA,NA,2010,24
NA,NA,NA,NA,NA,Arlington Hills,C05M,Other Physical Materials,NA,NA,NA,NA,NA,NA,NA,NA,2010,94
NA,NA,NA,NA,NA,Arlington Hills,C06M,Total Materials (Manually Input),NA,NA,NA,NA,NA,NA,NA,NA,2010,24906
NA,NA,NA,NA,NA,Arlington Hills,C07M,Print Serial Subscriptions,NA,NA,NA,NA,NA,NA,NA,NA,2010,43
NA,NA,NA,NA,NA,Arlington Hills,P01M,Population of the Legal Service Area,NA,NA,NA,NA,NA,NA,NA,NA,2010,27323
NA,NA,NA,NA,NA,Arlington Hills,P02aM,Registered Borrowers - Residents,NA,NA,NA,NA,NA,NA,NA,NA,2010,13483
NA,NA,NA,NA,NA,Arlington Hills,P02bM,Registered Borrowers - Reciprocal,NA,NA,NA,NA,NA,NA,NA,NA,2010,1025
NA,NA,NA,NA,NA,Arlington Hills,P02cM,Total Registered Borrowers/Users,NA,NA,NA,NA,NA,NA,NA,NA,2010,14508
NA,NA,NA,NA,NA,Arlington Hills,P04M,Library Visits,NA,NA,NA,NA,NA,NA,NA,NA,2010,101417
NA,NA,NA,NA,NA,Arlington Hills,P06M,Reference Transactions,NA,NA,NA,NA,NA,NA,NA,NA,2010,5096
