Branch,Code,Variable,year,value
Dayton's Bluff,C07M,Print Serial Subscriptions,2010,39
Hamline Midway,P01M,Population of the Legal Service Area,2010,16122
Hamline Midway,P02aM,Registered Borrowers - Residents,2010,8595
Hamline Midway,P02bM,Registered Borrowers - Reciprocal,2010,1389
Hamline Midway,P02cM,Total Registered Borrowers,2010,9984
Hamline Midway,P04M,Library Visits,2010,115142
Hamline Midway,P06M,Reference Transactions,2010,11908
Hamline Midway,P08M,Stations,2010,0
Hamline Midway,P09M,Users of Public Internet Computers,2010,18106
Hamline Midway,P15M,Children's Circulation,2010,53163
Hamline Midway,P16M,Children's Library Programs,2010,117
Hamline Midway,P17M,Children's Program Attendance,2010,2845
Hamline Midway,P18M,Yound Adult Library Programs,2010,8
Hamline Midway,P19M,Young Adult Program Attendance,2010,169
Hamline Midway,P20M,Adult Circulation,2010,60774
Hamline Midway,P21M,Adult Library Programs,2010,75
Hamline Midway,P22M,Adult Program Attendance,2010,910
Hamline Midway,P23M,Other Circulation,2010,0
Hamline Midway,P24M,Total Circulation,2010,113937
Hamline Midway,NA,Total Programs (Manually Input),2010,NA
Hamline Midway,NA,Total Attendance (Manually Input),2010,NA
Hamline Midway,C01M,Print Materials,2010,24398
Hamline Midway,C02M,Audio Materials,2010,2789
Hamline Midway,C03M,Video Materials,2010,3018
Hamline Midway,C04M,Multi-format Materials,2010,24
Hamline Midway,C05M,Other Physical Materials,2010,93
Hamline Midway,C06M,Total Materials (Manually Input),2010,30322
Hamline Midway,C07M,Print Serial Subscriptions,2010,50
Hamline Midway,NA,Wireless Sessions,2010,NA
Hayden Heights,P01M,Population of the Legal Service Area,2010,28050
Hayden Heights,P02aM,Registered Borrowers - Residents,2010,18017
Hayden Heights,P02bM,Registered Borrowers - Reciprocal,2010,4720
Hayden Heights,P02cM,Total Registered Borrowers (Manually Input),2010,22737
Hayden Heights,P04M,Library Visits,2010,109641
Hayden Heights,P06M,Reference Transactions,2010,18668
Hayden Heights,P08M,Stations,2010,0
Hayden Heights,P09M,Users of Public Internet Computers,2010,22490
Hayden Heights,NA,Wireless Sessions,2010,NA
Hayden Heights,P15M,Children's Circulation,2010,61576
Hayden Heights,P16M,Children's Library Programs,2010,97
Hayden Heights,P17M,Children's Program Attendance,2010,2036
Hayden Heights,P18M,Yound Adult Library Programs,2010,13
Hayden Heights,P19M,Young Adult Program Attendance,2010,401
Hayden Heights,P20M,Adult Circulation,2010,66976
Hayden Heights,P21M,Adult Library Programs,2010,63
Hayden Heights,P22M,Adult Program Attendance,2010,759
Hayden Heights,P23M,Other Circulation,2010,0
Hayden Heights,P24M,Total Circulation,2010,128552
Hayden Heights,NA,Total Programs (Manually Input),2010,NA
Hayden Heights,NA,Total Attendance (Manually Input),2010,NA
Hayden Heights,C01M,Print Materials,2010,44331
Hayden Heights,C02M,Audio Materials,2010,2750
Hayden Heights,C03M,Video Materials,2010,4825
Hayden Heights,C04M,Multi-format Materials,2010,23
Hayden Heights,C05M,Other Physical Materials,2010,96
Hayden Heights,C06M,Total Materials (Manually Input),2010,52025
Hayden Heights,C07M,Print Serial Subscriptions,2010,78
Highland,P01M,Population of the Legal Service Area,2010,37077
Highland,P02aM,Registered Borrowers - Residents,2010,29783
Highland,P02bM,Registered Borrowers - Reciprocal,2010,7467
Highland,P02cM,Total Registered Borrowers (Manually Input),2010,37250
Highland,P04M,Library Visits,2010,304906
Highland,P06M,Reference Transactions,2010,77584
Highland,P08M,Stations,2010,0
Highland,P09M,Users of Public Internet Computers,2010,48812
Highland,NA,Wireless Sessions,2010,NA
Highland,P15M,Children's Circulation,2010,222057
Highland,P16M,Children's Library Programs,2010,57
Highland,P17M,Children's Program Attendance,2010,2530
Highland,P18M,Yound Adult Library Programs,2010,1
